user_id,age,age_group,gender,married,has_children,home_country,total_sessions,recency,total_trips,avg_total_usd_spent,avg_flight_usd_spent,avg_hotel_usd_spent,total_together,total_only_flights,total_only_hotels,booking_rate,total_cancellations,avg_cancellation_rate,avg_flight_discount_percentage,avg_hotel_discount_percentage,avg_dollars_saved_hotel,avg_dollars_saved_per_km,flight_discount_proportion,hotel_discount_proportion,both_discount_proportion,avg_km_flown,page_clicks_rate,average_clicks,avg_bags_checked,avg_hotel_nights,avg_hotel_rooms,avg_seats,hotel_bargain_hunter_index,flight_bargain_hunter_index,customersegment,Perk_Assigned
23557,65.0,65+,1,1,0,0,8,0.0,2,0.0,0.0,1835.25,0,0,2,0.25,0,0.0,,0.18,18.79,0.0,0.0,0.25,0.0,,10.25,10.25,,10.0,1.5,,0.84555,,2,One Free Hotel Night with Flight
94883,52.0,45-54,1,1,0,0,8,48.0,2,562.045,432.045,65.0,2,0,0,0.25,0,0.0,,0.05,0.0,0.0,0.0,0.13,0.0,1451.34,9.125,9.125,0.5,0.5,1.5,1.5,0.0,,4,Free Hotel Meal
101486,51.0,45-54,1,1,1,0,8,31.0,2,2293.955,94.955,1099.5,1,0,1,0.25,0,0.0,0.08,,0.0,0.0,0.25,0.0,0.0,995.68,16.375,16.375,0.0,4.0,1.5,0.5,,0.0,2,One Free Hotel Night with Flight
101961,43.0,35-44,1,1,0,0,8,0.0,5,2676.538,247.538,485.8,5,0,0,0.63,0,0.0,0.06,0.02,0.0,0.00073,0.25,0.13,0.0,1366.57,15.75,15.75,0.4,3.8,1.0,1.0,0.0,1.095e-05,2,One Free Hotel Night with Flight
106907,45.0,45-54,1,1,1,0,8,0.0,1,18159.06,13902.06,4257.0,1,0,0,0.13,1,1.0,,,0.0,0.0,0.0,0.0,0.0,12797.48,30.0,30.0,10.0,22.0,6.0,12.0,,,0,Free Cancellation
118043,52.0,45-54,1,0,1,0,8,0.0,5,6084.308,467.858,1123.29,2,1,2,0.63,0,0.0,0.08,0.07,27.79,0.0,0.13,0.25,0.13,2505.17,20.5,20.5,0.6,4.4,1.0,1.2,0.486325,0.0,2,One Free Hotel Night with Flight
120851,51.0,45-54,1,1,1,0,8,66.0,1,2386.68,384.68,2002.0,1,0,0,0.13,0,0.0,0.45,,0.0,0.0,0.25,0.0,0.0,2259.8,6.875,6.875,0.0,11.0,1.0,1.0,,0.0,1,Exclusive Discounts
125845,40.0,35-44,1,1,0,0,9,45.0,3,1237.92,548.92,229.66666666666666,3,0,0,0.33,0,0.0,0.05,0.02,0.0,0.01241,0.11,0.11,0.0,2861.52,17.666666666666668,17.666666666666668,0.67,1.67,1.33,1.33,0.0,6.8255e-05,4,Free Hotel Meal
133058,19.0,18-24,1,0,0,0,8,111.0,1,0.0,423.51,0.0,0,1,0,0.13,0,0.0,,0.05,0.0,0.0,0.0,0.13,0.0,2887.18,9.125,9.125,0.0,,,1.0,0.0,,4,Free Hotel Meal
149058,51.0,45-54,1,0,1,0,8,64.0,5,5756.826,383.826,1074.6,5,0,0,0.63,0,0.0,0.01,,0.0,0.00097,0.13,0.0,0.0,1959.87,17.75,17.75,0.4,5.0,1.2,1.2,,1.261e-06,2,One Free Hotel Night with Flight
152583,38.0,35-44,1,0,0,0,8,0.0,1,793.83,367.83,426.0,1,0,0,0.13,0,0.0,0.15,0.15,0.0,0.0,0.13,0.13,0.0,2265.72,18.625,18.625,2.0,2.0,1.0,1.0,0.0,0.0,4,Free Hotel Meal
153982,46.0,45-54,1,0,1,1,8,0.0,3,899.9566666666667,218.95666666666668,227.0,3,0,0,0.38,0,0.0,,0.05,0.0,0.0,0.0,0.13,0.0,1343.63,18.75,18.75,0.33,1.33,1.0,1.0,0.0,,4,Free Hotel Meal
160754,46.0,45-54,1,1,1,0,8,0.0,1,521.62,93.62,428.0,1,0,0,0.13,0,0.0,,,0.0,0.0,0.0,0.0,0.0,527.63,10.75,10.75,1.0,2.0,1.0,1.0,,,4,Free Hotel Meal
